date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:13:40	5142/5142	---M-Z	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/html	etag:W/%2267f443c5-239b%22	https://prium.github.io/robots.txt		(from )
12:13:40	33347/33347	---M-Z	200	added ('OK')	text/html	etag:W/%2267f38976-8243%22	https://prium.github.io/twbs-sparrow/v2.4.1/	prium.github.io/twbs-sparrow/v2.4.1/index.html	(from )
12:13:40	3568/3568	---M--	200	added ('OK')	image/png	etag:%2267f38978-df0%22	https://prium.github.io/twbs-sparrow/v2.4.1/assets/img/favicons/apple-touch-icon.png	prium.github.io/twbs-sparrow/v2.4.1/assets/img/favicons/apple-touch-icon.png	(from https://prium.github.io/twbs-sparrow/v2.4.1/)
12:13:41	834/834	---M--	200	added ('OK')	image/png	etag:%2267f38978-342%22	https://prium.github.io/twbs-sparrow/v2.4.1/assets/img/favicons/favicon-32x32.png	prium.github.io/twbs-sparrow/v2.4.1/assets/img/favicons/favicon-32x32.png	(from https://prium.github.io/twbs-sparrow/v2.4.1/)
12:13:42	600/600	---M--	200	added ('OK')	image/png	etag:%2267f38976-258%22	https://prium.github.io/twbs-sparrow/v2.4.1/assets/img/favicons/favicon-16x16.png	prium.github.io/twbs-sparrow/v2.4.1/assets/img/favicons/favicon-16x16.png	(from https://prium.github.io/twbs-sparrow/v2.4.1/)
12:13:43	15086/15086	---M-Z	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%2267f38978-3aee%22	https://prium.github.io/twbs-sparrow/v2.4.1/assets/img/favicons/favicon.ico	prium.github.io/twbs-sparrow/v2.4.1/assets/img/favicons/favicon.ico	(from https://prium.github.io/twbs-sparrow/v2.4.1/)
12:13:44	403/403	---M-Z	200	added ('OK')	application/json	etag:W/%2267f38976-193%22	https://prium.github.io/twbs-sparrow/v2.4.1/assets/img/favicons/manifest.json	prium.github.io/twbs-sparrow/v2.4.1/assets/img/favicons/manifest.json	(from https://prium.github.io/twbs-sparrow/v2.4.1/)
12:13:45	2894/2894	---M--	200	added ('OK')	image/png	etag:%2267f38977-b4e%22	https://prium.github.io/twbs-sparrow/v2.4.1/assets/img/favicons/mstile-150x150.png	prium.github.io/twbs-sparrow/v2.4.1/assets/img/favicons/mstile-150x150.png	(from https://prium.github.io/twbs-sparrow/v2.4.1/)
12:13:46	18459/18459	---M-Z	200	added ('OK')	text/css	etag:W/%2267f38978-481b%22	https://prium.github.io/twbs-sparrow/v2.4.1/vendors/swiper/swiper-bundle.min.css	prium.github.io/twbs-sparrow/v2.4.1/vendors/swiper/swiper-bundle.min.css	(from https://prium.github.io/twbs-sparrow/v2.4.1/)
12:13:47	41406/41406	---M-Z	200	added ('OK')	text/css	etag:W/%2267f38977-a1be%22	https://prium.github.io/twbs-sparrow/v2.4.1/vendors/loaders.css/loaders.min.css	prium.github.io/twbs-sparrow/v2.4.1/vendors/loaders.css/loaders.min.css	(from https://prium.github.io/twbs-sparrow/v2.4.1/)
12:13:49	434740/434740	---M-Z	200	added ('OK')	text/css	etag:W/%2267f38977-6a234%22	https://prium.github.io/twbs-sparrow/v2.4.1/assets/css/theme.min.css	prium.github.io/twbs-sparrow/v2.4.1/assets/css/theme.min.css	(from https://prium.github.io/twbs-sparrow/v2.4.1/)
12:13:49	0/0	---M--	200	added ('OK')	text/css	etag:%2267f38978-0%22	https://prium.github.io/twbs-sparrow/v2.4.1/assets/css/user.min.css	prium.github.io/twbs-sparrow/v2.4.1/assets/css/user.min.css	(from https://prium.github.io/twbs-sparrow/v2.4.1/)
12:13:50	33347/33347	---M-Z	200	added ('OK')	text/html	etag:W/%2267f38978-8243%22	https://prium.github.io/twbs-sparrow/v2.4.1/index.html	prium.github.io/twbs-sparrow/v2.4.1/index-2.html	(from https://prium.github.io/twbs-sparrow/v2.4.1/)
12:13:51	1047/1047	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2267f38978-417%22	https://prium.github.io/twbs-sparrow/v2.4.1/assets/img/logo-sparrow-invert.svg	prium.github.io/twbs-sparrow/v2.4.1/assets/img/logo-sparrow-invert.svg	(from https://prium.github.io/twbs-sparrow/v2.4.1/)
12:13:52	59783/59783	---M-Z	200	added ('OK')	text/html	etag:W/%2267f38976-e987%22	https://prium.github.io/twbs-sparrow/v2.4.1/homes/default.html	prium.github.io/twbs-sparrow/v2.4.1/homes/default.html	(from https://prium.github.io/twbs-sparrow/v2.4.1/)
12:13:53	34227/34227	---M-Z	200	added ('OK')	text/html	etag:W/%2267f38977-85b3%22	https://prium.github.io/twbs-sparrow/v2.4.1/homes/bicycle.html	prium.github.io/twbs-sparrow/v2.4.1/homes/bicycle.html	(from https://prium.github.io/twbs-sparrow/v2.4.1/)
12:13:54	23265/23265	---M-Z	200	added ('OK')	text/html	etag:W/%2267f38977-5ae1%22	https://prium.github.io/twbs-sparrow/v2.4.1/homes/bigcartel.html	prium.github.io/twbs-sparrow/v2.4.1/homes/bigcartel.html	(from https://prium.github.io/twbs-sparrow/v2.4.1/)
12:13:55	33664/33664	---M-Z	200	added ('OK')	text/html	etag:W/%2267f38976-8380%22	https://prium.github.io/twbs-sparrow/v2.4.1/homes/cafe.html	prium.github.io/twbs-sparrow/v2.4.1/homes/cafe.html	(from https://prium.github.io/twbs-sparrow/v2.4.1/)
12:13:56	35743/35743	---M-Z	200	added ('OK')	text/html	etag:W/%2267f38978-8b9f%22	https://prium.github.io/twbs-sparrow/v2.4.1/homes/digital.html	prium.github.io/twbs-sparrow/v2.4.1/homes/digital.html	(from https://prium.github.io/twbs-sparrow/v2.4.1/)
12:13:57	38210/38210	---M-Z	200	added ('OK')	text/html	etag:W/%2267f38977-9542%22	https://prium.github.io/twbs-sparrow/v2.4.1/homes/ecommerce.html	prium.github.io/twbs-sparrow/v2.4.1/homes/ecommerce.html	(from https://prium.github.io/twbs-sparrow/v2.4.1/)
12:13:58	28191/28191	---M-Z	200	added ('OK')	text/html	etag:W/%2267f38978-6e1f%22	https://prium.github.io/twbs-sparrow/v2.4.1/homes/event.html	prium.github.io/twbs-sparrow/v2.4.1/homes/event.html	(from https://prium.github.io/twbs-sparrow/v2.4.1/)
12:13:59	27320/27320	---M-Z	200	added ('OK')	text/html	etag:W/%2267f38978-6ab8%22	https://prium.github.io/twbs-sparrow/v2.4.1/homes/interior.html	prium.github.io/twbs-sparrow/v2.4.1/homes/interior.html	(from https://prium.github.io/twbs-sparrow/v2.4.1/)
